Model,Category,Difficulty,Avg Time (s),Min Time (s),Max Time (s),Std Dev
tinyllama,general_qa,easy,2.4271068572998047,2.4271068572998047,2.4271068572998047,0.0
tinyllama,general_qa,medium,6.075214862823486,6.075214862823486,6.075214862823486,0.0
tinyllama,general_qa,hard,4.406671047210693,4.406671047210693,4.406671047210693,0.0
tinyllama,summarization,easy,0.9605941772460938,0.9605941772460938,0.9605941772460938,0.0
tinyllama,summarization,medium,2.202300786972046,2.202300786972046,2.202300786972046,0.0
tinyllama,summarization,hard,8.775637149810791,8.775637149810791,8.775637149810791,0.0
tinyllama,code_generation,easy,8.528898239135742,8.528898239135742,8.528898239135742,0.0
tinyllama,code_generation,medium,3.1708149909973145,3.1708149909973145,3.1708149909973145,0.0
tinyllama,code_generation,hard,4.760822772979736,4.760822772979736,4.760822772979736,0.0
tinyllama,creative_writing,easy,14.55995798110962,14.55995798110962,14.55995798110962,0.0
tinyllama,creative_writing,medium,10.508307933807373,10.508307933807373,10.508307933807373,0.0
tinyllama,creative_writing,hard,8.566877365112305,8.566877365112305,8.566877365112305,0.0
mistral,general_qa,easy,11.4411039352417,11.4411039352417,11.4411039352417,0.0
mistral,general_qa,medium,18.508522987365723,18.508522987365723,18.508522987365723,0.0
mistral,general_qa,hard,13.759304285049438,13.759304285049438,13.759304285049438,0.0
mistral,summarization,easy,6.288102149963379,6.288102149963379,6.288102149963379,0.0
mistral,summarization,medium,13.787078857421875,13.787078857421875,13.787078857421875,0.0
mistral,summarization,hard,27.7285737991333,27.7285737991333,27.7285737991333,0.0
mistral,code_generation,easy,8.010354042053223,8.010354042053223,8.010354042053223,0.0
mistral,code_generation,medium,14.385066032409668,14.385066032409668,14.385066032409668,0.0
mistral,code_generation,hard,31.259012937545776,31.259012937545776,31.259012937545776,0.0
mistral,creative_writing,easy,28.7598659992218,28.7598659992218,28.7598659992218,0.0
mistral,creative_writing,medium,36.31170725822449,36.31170725822449,36.31170725822449,0.0
mistral,creative_writing,hard,37.86979007720947,37.86979007720947,37.86979007720947,0.0
llama3.1,general_qa,easy,6.368212938308716,6.368212938308716,6.368212938308716,0.0
llama3.1,general_qa,medium,102.3694109916687,102.3694109916687,102.3694109916687,0.0
llama3.1,general_qa,hard,30.987372875213623,30.987372875213623,30.987372875213623,0.0
llama3.1,summarization,easy,5.239034175872803,5.239034175872803,5.239034175872803,0.0
llama3.1,summarization,medium,11.071400880813599,11.071400880813599,11.071400880813599,0.0
llama3.1,summarization,hard,116.96440291404724,116.96440291404724,116.96440291404724,0.0
llama3.1,code_generation,easy,103.6992928981781,103.6992928981781,103.6992928981781,0.0
llama3.1,code_generation,medium,233.57893681526184,233.57893681526184,233.57893681526184,0.0
llama3.1,code_generation,hard,154.10245203971863,154.10245203971863,154.10245203971863,0.0
llama3.1,creative_writing,easy,68.40941190719604,68.40941190719604,68.40941190719604,0.0
llama3.1,creative_writing,medium,111.76811599731445,111.76811599731445,111.76811599731445,0.0
llama3.1,creative_writing,hard,72.08013010025024,72.08013010025024,72.08013010025024,0.0
